continent,year,problem_num,mean_score
Asia,1968,p1,4.5
Asia,1968,p2,6.333333333333334
Asia,1968,p3,4.083333333333334
Asia,1968,p4,3.4166666666666665
Asia,1968,p5,4.375
Asia,1968,p6,5.458333333333333
Asia,1969,p1,3.2916666666666665
Asia,1969,p2,5.083333333333334
Asia,1969,p3,4.5
Asia,1969,p4,3.083333333333333
Asia,1969,p5,5.666666666666666
Asia,1969,p6,3
Asia,1970,p1,5
Asia,1970,p2,7
Asia,1970,p3,8
Asia,1970,p4,6
Asia,1970,p5,6
Asia,1970,p6,8
Asia,1971,p1,0
Asia,1971,p2,0
Asia,1971,p3,0
Asia,1971,p4,0
Asia,1971,p5,0
Asia,1971,p6,0
Asia,1972,p1,5
Asia,1972,p2,6
Asia,1972,p3,7
Asia,1972,p4,7
Asia,1972,p5,7
Asia,1972,p6,8
Asia,1973,p1,3.5
Asia,1973,p2,3.333333333333333
Asia,1973,p3,4
Asia,1973,p4,4.375
Asia,1973,p5,4.083333333333334
Asia,1973,p6,1.8333333333333337
Asia,1974,p1,4.275862068965518
Asia,1974,p2,4.344827586206897
Asia,1974,p3,3.2758620689655182
Asia,1974,p4,4.689655172413793
Asia,1974,p5,3.137931034482759
Asia,1974,p6,4.344827586206897
Asia,1975,p1,4.5
Asia,1975,p2,5
Asia,1975,p3,4.416666666666666
Asia,1975,p4,3.708333333333333
Asia,1975,p5,3.3333333333333335
Asia,1975,p6,2.791666666666667
Asia,1976,p1,3.458333333333333
Asia,1976,p2,3.0416666666666665
Asia,1976,p3,3.7083333333333335
Asia,1976,p4,4.291666666666666
Asia,1976,p5,2.2083333333333335
Asia,1976,p6,4.333333333333334
Asia,1977,p1,6
Asia,1977,p2,6
Asia,1977,p3,7
Asia,1977,p4,6
Asia,1977,p5,7
Asia,1977,p6,8
Asia,1978,p1,NA
Asia,1978,p2,NA
Asia,1978,p3,NA
Asia,1978,p4,NA
Asia,1978,p5,NA
Asia,1978,p6,NA
Asia,1979,p1,2.714285714285714
Asia,1979,p2,3.9285714285714293
Asia,1979,p3,4.857142857142857
Asia,1979,p4,5.107142857142857
Asia,1979,p5,3.8571428571428568
Asia,1979,p6,4.5357142857142865
Asia,1981,p1,7
Asia,1981,p2,7
Asia,1981,p3,7
Asia,1981,p4,7
Asia,1981,p5,7
Asia,1981,p6,7
Asia,1982,p1,4.75
Asia,1982,p2,2.5833333333333335
Asia,1982,p3,3.458333333333334
Asia,1982,p4,3.625
Asia,1982,p5,5.708333333333334
Asia,1982,p6,2.4166666666666665
Asia,1983,p1,7
Asia,1983,p2,7
Asia,1983,p3,7
Asia,1983,p4,7
Asia,1983,p5,7
Asia,1983,p6,7
